Sr no.,File name,Query,Response,Summary,,,,,,,,
1,c2274666.wav,Caller greets but receives no response.,No response recorded.,Unanswered call.,,,,,,,,
2,c2274667.wav,Caller greets with 'Hello'.,No response recorded.,Unanswered call.,,,,,,,,
3,c2274672.wav,Caller reports a Cisco error and asks about 'verify your connection' and password issues.,NSE staff advises checking with the voice team and provides extension information.,Caller is guided to contact the voice team for Cisco connection errors.,,,,,,,,
4,c2274674.wav,Caller asks for extension information related to ODI team.,NSE staff provides extension 22020 for ODI team.,Caller receives extension details for ODI team.,,,,,,,,
5,c2274676.wav,Caller reports Cisco error and provides ticket details.,NSE staff advises calling the voice team at extension 23000 for further assistance.,Caller is directed to the voice team for Cisco error resolution.,,,,,,,,
6,c2274678.wav,Caller discusses error on extension and requests help with MAC number and profile login.,"NSE staff collects extension and MAC details, explains possible profile login issue, and promises resolution in 5 minutes.",Caller receives step-by-step troubleshooting for extension error.,,,,,,,,
7,c2274684.wav,Caller greets with 'Hello' multiple times.,No response recorded.,Unanswered call.,,,,,,,,
8,c2274685.wav,"Caller follows up on previous call, clarifies device in use.",NSE staff confirms device and promises to call back.,Caller receives follow-up and callback assurance.,,,,,,,,
9,c2274691.wav,Caller asks about system activity and internet connectivity.,NSE staff confirms no activity and assures internet will work for 2 minutes.,Caller receives confirmation about system and internet status.,,,,,,,,
10,c2274696.wav,Caller inquires about Vidhi madam's location and desk number.,"NSE staff provides desk number WS 23, A wing, 3rd floor.",Caller receives location details for staff member.,,,,,,,,
11,c2274702.wav,Caller reports deduction from F-Stock account and seeks help.,NSE staff advises contacting the broker directly for resolution and provides guidance on finding contact details.,Caller is directed to broker for account deduction issues.,,,,,,,,
12,c2274710.wav,Caller asks about nominee addition and Demat account details with AngelOne.,NSE staff explains nominee addition process and clarifies AngelOne's role as broker.,Caller is guided on nominee addition and Demat account management.,,,,,,,,
13,c2274712.wav,Caller coordinates staff verification and desk assignment.,NSE staff confirms desk and timing for verification.,Internal coordination for staff verification.,,,,,,,,
14,c2274713.wav,Caller inquires about negative balance in Zerodha account.,NSE staff advises contacting Zerodha for account details and provides guidance on finding support contact.,Caller is directed to broker for negative balance clarification.,,,,,,,,
15,c2274716.wav,Internal discussion about system slowness and category selection in call center.,Staff advises vigilance in category selection and confirms team is checking the issue.,Internal process improvement discussion for call center operations.,,,,,,,,
16,c2274719.wav,Caller reports fraud via Telegram investment and seeks fund recovery.,"NSE staff explains Telegram is not associated with exchange, advises filing cybercrime complaint.",Caller is guided to file cybercrime complaint for Telegram investment fraud.,,,,,,,,
17,c2274720.wav,Internal discussion about system slowness and category selection.,Staff reiterates need for vigilance in category selection during slowness.,Internal reminder for careful category selection in system.,,,,,,,,
18,c2274722.wav,Caller reports fraud via Telegram and account freeze after large deposit.,"NSE staff explains NSE has no Telegram presence, warns of fraud, and advises filing cybercrime complaint.",Caller is warned about Telegram investment scams and directed to cybercrime authorities.,,,,,,,,
19,c2274725.wav,Caller expresses frustration about market manipulation and insider trading.,"NSE staff listens to concerns and explains market operations, encourages filing complaints if needed.",Caller voices concerns about market manipulation; staff provides general guidance.,,,,,,,,
20,c2274734.wav,Internal discussion about service errors and case tracking in Excel.,Staff confirms error is widespread and coordinates tracking in Excel.,Internal coordination for service error resolution.,,,,,,,,
21,c2274735.wav,Internal discussion about service errors and login issues.,Staff confirms service now login issues and coordinates with calling team.,Internal troubleshooting for service login errors.,,,,,,,,
22,c2274737.wav,Caller asks about resetting network or all settings.,Staff confirms all settings will be reset.,Internal IT support for network reset.,,,,,,,,
23,c2274743.wav,Internal discussion about login errors and ticket creation issues.,Staff confirms widespread login errors and coordinates with calling team.,Internal troubleshooting for login and ticketing issues.,,,,,,,,
24,c2274744.wav,Internal discussion about call errors and login status.,Staff confirms ongoing login issues and coordinates with calling team.,Internal troubleshooting for login and call errors.,,,,,,,,
25,c2274745.wav,Caller asks about trade account status and account closure process.,NSE staff explains need to contact broker for account closure and provides SEBI SCORES portal for complaints.,Caller is guided on account closure and complaint process via SEBI SCORES. 26,c2274760.wav,Caller reports Paytm Money account closed but continues to receive emails and negative balance alerts.,"NSE staff explains emails are due to broker's active client file, advises caller to confirm account closure with broker and request removal from active client list.",Caller is guided to confirm account closure and removal from broker's active client list to stop alerts.,,,,
27,c2274772.wav,Caller receives NSE Alert email and is unsure about required actions for a form from HDFC Securities.,"NSE staff explains the email is informational, no action required unless advised by broker, and suggests contacting HDFC Securities for clarification.",Caller is reassured that NSE Alert is informational and advised to consult broker for any required actions.,,,,,,,,
28,c2274775.wav,Internal discussion about ticket closure and system issues in service platform.,Staff advises documenting system issues when closing tickets and confirms process for delayed closures.,Internal process clarification for ticket management during system issues.,,,,,,,,
29,c2274776.wav,Caller reports message about NIC deducting 500 rupees and seeks clarification.,"NSE staff explains broker is registered under NSE, details process for broker data forwarding, and reassures caller about verification emails.",Caller is informed about broker data forwarding and verification process for account activity.,,,,,,,,
30,c2274778.wav,Internal follow-up on ticket status and problem resolution.,Staff confirms ongoing checks and offers to close ticket if resolved.,Internal coordination for ticket closure and support.,,,,,,,,
31,c2274782.wav,Caller seeks to validate old Global Trust Bank share certificates and transfer to Demat.,NSE staff advises contacting PNB's Registrar and Transfer Agent (RTA) for validation and Demat process.,Caller is guided to contact RTA for validation and Demat of old share certificates.,,,,,,,,
32,c2274787.wav,Caller reports error when creating a ticket and seeks troubleshooting advice.,"Staff suggests canceling and re-logging into service platform, confirms process for error resolution.",Caller is advised to re-login and retry ticket creation to resolve errors.,,,,,,,,
33,c2274808.wav,Internal discussion about DCS and maker access for new system setup.,Staff checks access permissions and confirms maker access for all users.,Internal IT support for system access configuration.,,,,,,,,
34,c2274816.wav,Caller requests support in Tamil and asks for regional office contact.,NSE staff provides Chennai regional office number and confirms support options.,Caller receives regional office contact for Tamil language support.,,,,,,,,
35,c2274819.wav,Caller inquires about NSE circular and client security balance upload requirements.,"NSE staff explains broker's role, password usage, and advises contacting broker for account closure.",Caller is guided on circular requirements and broker contact for account management.,,,,,,,,
36,c2274828.wav,Internal discussion about ticket closure delays due to service issues.,Staff advises documenting delays and process for replying to tickets.,Internal process for documenting and communicating ticket closure delays.,,,,,,,,
37,c2274865.wav,Internal discussion about email loops and communication with trading members.,Staff explains process for closing cases and following up with trading members.,Internal clarification on communication and case closure procedures.,,,,,,,,
38,c2274877.wav,Caller asks if UCC is required for SLBM segment trading.,"NSE staff confirms direct activation is possible, no separate UCC needed for SLBM.",Caller is informed that UCC is not required for SLBM segment activation.,,,,,,,,
39,c2274883.wav,Caller wants to file complaint against PhonePe Broking for order rejections and insufficient funds errors.,NSE staff guides caller to use SEBI SCORES portal for broker complaints and explains complaint process.,Caller is directed to SEBI SCORES portal for broker complaint resolution.,,,,,,,,
40,c2274887.wav,Internal discussion about member compliance and claim status updates.,Staff advises marking claims as 'no longer required' and updating membership records.,Internal process for updating claim status and membership compliance.,,,,,,,,
41,c2274890.wav,Caller reports Cisco system not working and inability to raise ticket due to service issues.,Staff advises waiting for service restoration and explains ticketing process.,Caller is advised to wait for service restoration before raising ticket.,,,,,,,,
42,c2274900.wav,Caller seeks to withdraw SIP but has issues with phone number and broker contact.,NSE staff advises contacting broker via official website and explains on-call confirmation process.,Caller is guided to contact broker for SIP withdrawal and on-call confirmation.,,,,,,,,
43,c2274936.wav,Caller inquires about price difference between Sovereign Gold Bond and actual gold.,NSE staff explains broker is best source for such queries and advises contacting broker for detailed explanation.,Caller is directed to broker for clarification on gold bond pricing differences.,,,,,,,,
44,c2274938.wav,Caller is a fresher seeking to enter commodity market and asks about process and minimum investment.,NSE staff explains need to open Demat account with registered broker and consult broker for investment details.,Caller is guided to open Demat account and consult broker for commodity market entry.,,,,,,,,
45,c2274948.wav,Internal discussion about assigning tasks and onboarding new staff.,Staff advises putting new staff in full-fledged roles and ensuring proper handover.,Internal process for staff onboarding and task assignment.,,,,,,,,
46,c2274953.wav,Internal discussion about open cases and updating new staff.,Staff advises updating new staff on open cases and ensuring proper follow-up.,Internal process for case management and staff transition.,,,,,,,,
47,c2274958.wav,Caller asks how to find UCC creation date in UCA portal.,NSE staff explains how to check creation date in mandi file and provides guidance on feedback process.,Caller is guided to check UCC creation date in mandi file and provide feedback for improvements.,,,,,,,,
48,c2274961.wav,Caller inquires about NSE barrel charges and account debit without intimation.,NSE staff advises contacting broker for charge details and provides regional office contact for language support.,Caller is directed to broker and regional office for charge clarification.,,,,,,,,
49,c2274968.wav,Caller receives NSE Security Balance Alert for Money Lease and is confused about MobiQuick and Money Lease relationship.,"NSE staff explains difference between MobiQuick and Money Lease, clarifies account and alert process.",Caller is informed about distinction between MobiQuick and Money Lease and reason for alerts.,,,,,,,,
50,c2274980.wav,Caller reports unexpected return of 50% investment in 12% Club app and seeks clarification.,NSE staff advises contacting the app provider directly as NSE has no access to account details.,Caller is directed to app provider for investment clarification and support. 51,c2274983.wav,Caller reports missing holdings in HDFC Securities Demat account after market opens.,"NSE staff advises contacting broker, suggests mailing last trade PDF, and explains possible technical issues.",Caller is guided to contact broker and provide documentation for missing holdings.,,,,
52,c2274995.wav,Internal follow-up on a case in Teams.,Staff promises to check and assist after reviewing the case.,Internal coordination for case follow-up.,,,,,,,,
53,c2274998.wav,Caller seeks help with screen-based trading and NEAT terminal access.,"NSE staff explains NEAT is for authorized brokers only, not for investors, and advises coordinating with broker.",Caller is informed about NEAT terminal access restrictions and broker coordination.,,,,,,,,
54,c2275001.wav,Internal discussion about Telegram channel fraud and case forwarding to inspection.,Staff advises forwarding case to NCB inspection and provides guidance on documentation.,Internal process for handling Telegram fraud cases.,,,,,,,,
55,c2275006.wav,Caller receives NSE Alert despite no trading activity and wants to close IIFL account.,"NSE staff explains standard alert process, advises contacting broker for closure, and provides SEBI complaint guidance.",Caller is guided on account closure and complaint process for unwanted alerts.,,,,,,,,
56,c2275008.wav,Caller inquires about surveillance margin refund for Coffee Day shares.,"NSE staff explains only broker can assist, advises continuous follow-up, and provides email for norms inquiry.",Caller is directed to broker for surveillance margin refund and exchange norms.,,,,,,,,
57,c2275010.wav,Caller wants to complain about Stock Sanjeevani broker for withdrawal issues.,"NSE staff checks registration, finds broker not listed, and advises checking with BSE and SEBI.",Caller is informed about broker registration and complaint process.,,,,,,,,
58,c2275025.wav,Internal note thanking for watching.,No response recorded.,"Internal note, no actionable content.",,,,,,,,
59,c2275027.wav,Caller seeks help withdrawing SIP from PhonePe Wealth after losing access to registered number.,NSE staff advises contacting PhonePe support via official website for SIP status and withdrawal.,Caller is guided to PhonePe support for SIP withdrawal assistance.,,,,,,,,
60,c2275028.wav,Internal discussion about investor claim and follow-up with RM and Prashant Shah.,Staff coordinates with RM for claim resolution and advises on follow-up steps.,Internal process for investor claim follow-up.,,,,,,,,
61,c2275034.wav,Caller requests KYC department contact for case reference.,"NSE staff provides KYC helpline number, checks internal server status, and advises emailing case details.",Caller is guided to KYC helpline and email process for case resolution.,,,,,,,,
62,c2275042.wav,Internal request for quarterly snapshot submission.,Staff confirms submission and coordinates with Nitya for annual snapshot.,Internal process for report submission and coordination.,,,,,,,,
63,c2275062.wav,Caller is forwarded to voicemail.,No response recorded.,"Unanswered call, forwarded to voicemail.",,,,,,,,
64,c2275066.wav,Caller wants to complain about Stock Sanjeevani for withdrawal issues.,"NSE staff checks registration, finds broker not listed, and advises complaint via cybercrime and Sancharsathi.",Caller is guided to file complaint via cybercrime and Sancharsathi for unregistered broker.,,,,,,,,
65,c2275070.wav,Caller closed trading account but continues to receive NSE emails.,"NSE staff explains emails are due to broker's database, advises contacting broker to remove from active client file.",Caller is guided to contact broker for removal from active client list to stop emails.,,,,,,,,
66,c2275088.wav,Caller checks if account exists with NSE after receiving alert emails.,NSE staff explains how to check broker details in email and advises contacting depository for confirmation.,Caller is guided to check broker details and confirm account status with depository.,,,,,,,,
67,c2275092.wav,Member from Dollar Capital requests category change in UCI portal and reports pending status.,"NSE staff checks with UCI department, confirms process, and advises on documentation and follow-up.",Member is guided on category change process and follow-up with UCI department.,,,,,,,,
68,c2275114.wav,Internal discussion about case response and sharing links.,Staff agrees to draft and share response with Indian teachers.,Internal coordination for case response drafting.,,,,,,,,
69,c2275125.wav,Caller seeks contact for Prashant Ajare from IT department.,"NSE staff checks records, finds no such employee, and advises direct contact if details are available.",Caller is informed no such employee is listed and advised to use direct contact if possible.,,,,,,,,
70,c2275127.wav,Employee from mutual fund relationship department follows up on missed call from NSE.,NSE staff confirms call was from investor service department and advises waiting for callback.,Employee is advised to wait for callback from relevant department.,,,,,,,,
71,c2275130.wav,Caller reports account loss and price drop in AngelOne account.,NSE staff advises contacting broker for resolution and confirms limited access to account details.,Caller is guided to broker for account and holding issues.,,,,,,,,
72,c2275135.wav,Caller follows up on Karvy claim and discrepancy in undertaking form.,"NSE staff checks case, advises resubmission with corrections, and coordinates with team for resolution.",Caller is guided to resubmit corrected documents for Karvy claim.,,,,,,,,
73,c2275140.wav,Caller receives NSE emails but is unsure about account details and broker.,"NSE staff explains how to find broker name in email and PDF, advises contacting broker for account closure.",Caller is guided to find broker details and close account if desired.,,,,,,,,
74,c2275147.wav,"Internal discussion about circulars, expiry dates, and investor queries.",Staff reviews circulars and discusses investor feedback and response process.,Internal process for handling circular-related investor queries.,,,,,,,,
75,c2275161.wav,Caller inquires about BMA claim and inadmissible amount due to inactivity.,"NSE staff explains claim is inadmissible due to inactivity, advises mailing default team for further clarification.",Caller is informed about claim status and directed to default team for more information. 76,c2275176.wav,Caller receives multiple emails and seeks clarification about their purpose.,NSE staff explains emails are related to Demat account activity and advises checking with broker for details.,Caller is informed about the purpose of NSE emails and advised to consult broker.,,,,
77,c2275206.wav,Caller receives NSE Alert message and wants to know about Demat account and broker details.,"NSE staff explains how to find broker name in email, advises contacting broker for account closure and further information.",Caller is guided to find broker details and close account if desired.,,,,,,,,
